ss,,,,,,,,,ss,
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,,
0,50-148.49,0-0.013,0-0.012,287.72-700,318.22-700,0-12.7,0-0.6,-0.407,,
1,148.50-291.76,0.014-0.053,0.013-0.038,44.72-287.71,54.15-318.21,12.8-22.2,0.7-20.9,-1.965,,
2,291.77-297.86,0.054-0.177,0.039-0.181,33.19-44.71,44.25-54.14,22.3-27.3,21.0-23.9,-1.053,,
3,297.87-326.84,0.178-0.620,0.182-0.824,31.06-33.18,35.62-44.24,27.4-31.0,24.0-27.6,-0.098,,
4,326.85-380.83,0.621-0.708,0.825-0.999,29.41-31.05,32.29-35.61,31.1-34.7,27.7-31.7,-0.452,,
5,380.84-417.49,0.709-0.794,1.000-1.104,27.02-29.40,29.13-32.28,34.8-38.5,31.8-37.8,-0.421,,
6,417.50-465.91,0.795-0.876,1.105-1.230,24.65-27.01,26.52-29.12,38.6-45.2,37.9-42.6,-0.34,,
7,465.92-501.90,0.877-0.944,1.231-1.335,23.09-24.64,24.30-26.51,45.3-50.5,42.7-49.5,-0.235,,
8,501.91-550.17,0.945-1.007,1.336-1.437,21.65-23.08,22.93-24.29,50.6-58.2,49.6-55.8,-0.315,,
9,550.18-585.37,1.008-1.078,1.438-1.541,20.24-21.64,21.45-22.92,58.3-66.2,55.9-63.1,0.295-0.562,,
10,585.38-619.48,1.079-1.154,1.542-1.644,19.14-20.23,20.38-21.44,66.3-73.8,63.2-70.5,0.563-0.663,,
11,619.49-650.04,1.155-1.223,1.645-1.756,18.14-19.13,19.32-20.37,73.9-82.2,70.6-79.9,0.664-0.923,,
12,650.05-687.88,1.224-1.293,1.757-1.882,17.39-18.13,18.35-19.31,82.3-94.8,80.0-90.7,0.924-0.971,,
13,687.89-721.93,1.294-1.403,1.883-2.025,16.55-17.38,17.57-18.34,94.9-108.4,90.8-102.1,0.972-1.234,,
14,721.94-750.04,1.404-1.475,2.026-2.171,15.87-16.54,16.73-17.56,108.5-118.1,102.2-114.8,1.235-1.474,,
15,750.05-797.62,1.476-1.601,2.172-2.443,15.27-15.86,15.90-16.72,118.2-129.2,114.9-126.1,1.475-1.705,,
16,797.63-827.74,1.602-1.679,2.444-2.568,14.58-15.26,15.44-15.89,129.3-143.4,126.2-134.2,1.706-1.933,,
17,827.75-861.94,1.680-1.783,2.569-2.938,14.00-14.57,14.79-15.43,143.5-151.8,134.3-142.4,1.934-2.187,,
18,861.95-900.21,1.784-1.869,2.939-3.470,12.14-13.99,12.90-14.78,151.9-161.1,142.5-147.2,2.188-2.506,,
19,900.22-1387.06,1.870-3.096,3.471-4.158,1.54-12.13,7.76-12.89,161.2-215.4,147.3-213.5,2.507-4.337,,
20,1387.07-2000,3.097-5,4.159-5,0-1.53,0-7.75,215.5-300,213.6-300,4.338-5,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
