ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,50-155.59,0-0.071,0-0.022,79.72-700,89.62-700,0-3.1,0-1.0,-2.742,
1,155.60-217.39,0.072-0.140,0.023-0.165,72.61-79.71,83.79-89.61,3.2-4.0,1.1-2.8,-0.005,
2,217.40-300.61,0.141-0.479,0.166-0.883,62.05-72.60,72.85-83.78,4.1-5.1,2.9-4.7,-0.005,
3,300.62-350.93,0.480-0.649,0.884-1.019,53.02-62.04,61.12-72.84,5.2-6.9,4.8-6.5,-0.398,
4,350.94-400.80,0.650-0.724,1.020-1.112,44.42-53.01,51.89-61.11,7.0-9.0,6.6-8.8,-0.315,
5,400.81-455.30,0.725-0.780,1.113-1.205,36.65-44.41,41.88-51.88,9.1-12.5,8.9-12.1,-0.222,
6,455.31-501.44,0.781-0.842,1.206-1.282,30.58-36.64,34.21-41.87,12.6-17.6,12.2-17.1,-0.31,
7,501.45-545.30,0.843-0.912,1.283-1.363,26.40-30.57,28.98-34.20,17.7-24.0,17.2-23.3,-0.284,
8,545.31-580.31,0.913-0.976,1.364-1.456,23.87-26.39,25.79-28.97,24.1-31.3,23.4-30.0,-0.291,
9,580.32-609.98,0.977-1.042,1.457-1.556,22.17-23.86,23.96-25.78,31.4-39.2,30.1-37.4,-0.29,
10,609.99-647.32,1.043-1.115,1.557-1.652,20.73-22.16,22.41-23.95,39.3-48.6,37.5-45.8,-0.311,
11,647.33-679.09,1.116-1.189,1.653-1.755,19.55-20.72,20.98-22.40,48.7-57.9,45.9-54.3,0.184-0.551,
12,679.10-707.58,1.190-1.267,1.756-1.879,18.56-19.54,19.91-20.97,58.0-67.3,54.4-62.8,0.552-0.686,
13,707.59-740.18,1.268-1.365,1.880-1.996,17.65-18.55,18.86-19.90,67.4-78.5,62.9-74.0,0.687-0.927,
14,740.19-773.72,1.366-1.473,1.997-2.136,16.90-17.64,17.96-18.85,78.6-90.0,74.1-85.7,0.928-1.119,
15,773.73-801.95,1.474-1.600,2.137-2.335,16.10-16.89,17.10-17.95,90.1-103.4,85.8-97.0,1.120-1.411,
16,801.96-836.30,1.601-1.695,2.336-2.616,15.48-16.09,16.46-17.09,103.5-115.0,97.1-107.3,1.412-1.696,
17,836.31-899.66,1.696-1.868,2.617-2.919,14.48-15.47,15.83-16.45,115.1-129.1,107.4-121.0,1.697-2.013,
18,899.67-942.39,1.869-2.002,2.920-3.342,14.11-14.47,14.86-15.82,129.2-133.9,121.1-129.0,2.014-2.409,
19,942.40-999.96,2.003-2.561,3.343-3.703,13.71-14.10,12.17-14.85,134.0-140.3,129.1-146.5,2.410-2.983,
20,999.97-2000,2.562-5,3.704-5,0-13.70,0-12.16,140.4-300,146.6-300,2.984-5,
