ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,---,---,---,---,---,---,---,---,
1,50-118.23,0-0.199,0-0.280,109.22-700,92.70-700,0-3.5,0-1.7,-1.045,
2,118.24-214.44,0.200-0.476,0.281-0.882,78.02-109.21,83.63-92.69,3.6-4.3,1.8-4.5,-1.4,
3,214.45-334.39,0.477-0.627,0.883-0.985,64.58-78.01,62.46-83.62,4.4-6.0,4.6-7.3,-0.637,
4,334.40-397.93,0.628-0.708,0.986-1.069,48.35-64.57,53.80-62.45,6.1-9.9,7.4-10.1,-0.409,
5,397.94-450.26,0.709-0.748,1.070-1.162,36.75-48.34,42.45-53.79,10.0-15.0,10.2-15.6,-0.31,
6,450.27-490.17,0.749-0.804,1.163-1.253,31.05-36.74,36.45-42.44,15.1-21.5,15.7-20.3,-0.234,
7,490.18-535.07,0.805-0.858,1.254-1.324,26.74-31.04,30.91-36.44,21.6-27.5,20.4-26.9,-0.312,
8,535.08-569.02,0.859-0.942,1.325-1.406,24.79-26.73,27.46-30.90,27.6-35.6,27.0-34.2,-0.276,
9,569.03-597.71,0.943-1.009,1.407-1.527,23.31-24.78,24.93-27.45,35.7-42.9,34.3-40.6,-0.246,
10,597.72-629.92,1.010-1.072,1.528-1.616,21.54-23.30,23.15-24.92,43.0-52.3,40.7-50.1,-0.269,
11,629.93-653.50,1.073-1.161,1.617-1.722,20.25-21.53,21.89-23.14,52.4-60.6,50.2-57.2,0.148-0.423,
12,653.51-691.21,1.162-1.238,1.723-1.824,19.13-20.24,20.72-21.88,60.7-72.3,57.3-67.3,0.424-0.668,
13,691.22-715.98,1.239-1.347,1.825-1.948,18.23-19.12,19.62-20.71,72.4-83.7,67.4-81.5,0.669-0.937,
14,715.99-747.46,1.348-1.447,1.949-2.110,17.73-18.22,18.51-19.61,83.8-94.8,81.6-90.7,0.938-1.155,
15,747.47-783.15,1.448-1.576,2.111-2.327,16.80-17.72,17.62-18.50,94.9-108.9,90.8-104.3,1.156-1.591,
16,783.16-799.93,1.577-1.694,2.328-2.562,15.96-16.79,16.46-17.61,109.0-121.9,104.4-122.1,1.592-2.043,
17,799.94-802.88,1.695-1.924,2.563-3.045,15.36-15.95,15.92-16.45,122.0-131.9,122.2-129.0,2.044-2.437,
18,802.89-859.12,1.925-2.109,3.046-3.619,14.47-15.35,14.39-15.91,132.0-135.2,129.1-143.5,2.438-2.792,
19,859.13-2000,2.110-5,3.620-5,0-14.46,0-14.38,135.3-300,143.6-300,2.793-5,
20,---,---,---,---,---,---,---,---,
