ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,---,---,---,---,---,---,---,---,
1,---,---,---,---,---,---,---,---,
2,50-193.17,0-0.149,0-0.137,313.71-700,324.14-700,0-18.4,0-10.0,-0.976,
3,193.18-355.12,0.150-0.580,0.138-0.729,29.59-313.70,35.89-324.13,18.5-33.2,10.1-27.4,-2.939,
4,355.13-397.76,0.581-0.704,0.730-0.902,26.97-29.58,30.44-35.88,33.3-35.6,27.5-29.6,-0.501,
5,397.77-450.47,0.705-0.791,0.903-1.087,24.84-26.96,26.66-30.43,35.7-42.0,29.7-38.5,-0.165,
6,450.48-482.98,0.792-0.836,1.088-1.211,23.66-24.83,24.02-26.65,42.1-46.2,38.6-42.1,-0.384,
7,482.99-515.40,0.837-0.940,1.212-1.300,21.37-23.65,22.74-24.01,46.3-50.6,42.2-47.6,-0.276,
8,515.41-551.46,0.941-0.991, 1.301-1.405,19.96-21.36,21.92-22.73,50.7-56.7,47.7-54.5,0.247-0.504,
9,551.47-579.28,0.992-1.057,1.406-1.503,19.16-19.95,20.71-21.91,56.8-65.2,54.6-61.0,0.505-0.645,
10,579.29-624.05,1.058-1.165,1.504-1.619,18.56-19.15,19.99-20.70,65.3-72.2,61.1-71.0,0.646-0.827,
11,624.06-653.10,1.166-1.253,1.620-1.724,17.70-18.55,19.11-19.98,72.3-82.3,71.1-79.7,0.828-0.995,
12,653.11-700.54,1.254-1.328,1.725-1.825,17.13-17.69,18.38-19.10,82.4-92.9,79.8-91.3,0.996-1.160,
13,700.55-722.40,1.329-1.412,1.826-1.947,16.62-17.12,17.63-18.37,93.0-110.3,91.4-104.7,1.161-1.374,
14,722.41-744.23,1.413-1.470,1.948-2.148,15.90-16.61,16.83-17.62,110.4-121.3,104.8-119.2,1.375-1.484,
15,744.24-782.66,1.471-1.600,2.149-2.378,15.41-15.89,16.38-16.82,121.4-127.0,119.3-131.1,1.485-1.628,
16,782.67-805.12,1.601-1.758,2.379-2.924,15.10-15.40,14.12-16.37,127.1-143.8,131.2-141.4,1.629-1.839,
17,805.13-1303.91,1.759-3.101,2.925-3.776,8.46-15.09,7.13-14.11,143.9-208.8,141.5-218.7,1.840-4.091,
18,1303.92-2000,3.102-5,3.777-5,0-8.45,0-7.12,208.9-300,218.8-300,4.092-5,
19,---,---,---,---,---,---,---,---,
20,---,---,---,---,---,---,---,---,
