ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,---,---,---,---,---,---,---,---,
1,50-159.35,0-0.569,0-0.864,73.01-700,137.08-700,0-3.3,0-3.6,-2.742,
2,159.36-285.85,0.570-0.656,0.865-0.957,59.06-73.00,76.24-137.07,3.4-5.1,3.7-5.3,-0.006,
3,285.86-337.11,0.657-0.685,0.958-1.063,55.41-59.05,60.25-76.23,5.2-6.9,5.4-6.9,-0.077,
4,337.12-395.68,0.686-0.737,1.064-1.125,45.59-55.40,52.58-60.24,7.0-8.9,7.0-8.2,-0.356,
5,395.69-448.98,0.738-0.785,1.126-1.182,36.96-45.58,43.53-52.57,9.0-11.1,8.3-11.7,-0.295,
6,448.99-491.89,0.786-0.849,1.183-1.261,30.67-36.95,35.21-43.52,11.2-16.1,11.8-15.6,-0.328,
7,491.90-532.14,0.850-0.914,1.262-1.335,26.50-30.66,28.86-35.20,16.2-21.3,15.7-20.6,-0.313,
8,532.15-564.50,0.915-0.979,1.336-1.420,23.87-26.49,25.85-28.85,21.4-26.9,20.7-27.3,-0.317,
9,564.51-594.52,0.980-1.047,1.421-1.511,22.14-23.86,24.10-25.84,27.0-34.7,27.4-33.0,-0.312,
10,594.53-623.63,1.048-1.129,1.512-1.593,20.90-22.13,22.83-24.09,34.8-45.4,33.1-42.7,-0.393,
11,623.64-653.93,1.130-1.210,1.594-1.713,19.91-20.89,21.26-22.82,45.5-54.4,42.8-50.7,0.149-0.510,
12,653.94-688.75,1.211-1.280,1.714-1.830,18.91-19.90,20.19-21.25,54.5-63.0,50.8-60.2,0.511-0.667,
13,688.76-717.72,1.281-1.390,1.831-1.912,17.86-18.90,19.25-20.18,63.1-73.9,60.3-68.1,0.668-0.935,
14,717.73-744.81,1.391-1.506,1.913-2.052,17.04-17.85,18.32-19.24,74.0-84.1,68.2-81.6,0.936-1.113,
15,744.82-796.22,1.507-1.618,2.053-2.244,16.25-17.03,17.49-18.31,84.2-100.2,81.7-96.3,1.114-1.370,
16,796.23-829.46,1.619-1.735,2.245-2.498,15.48-16.24,16.80-17.48,100.3-109.8,96.4-103.7,1.371-1.571,
17,829.47-917.50,1.736-2.002,2.499-2.733,14.89-15.47,16.09-16.79,109.9-119.4,103.8-113.9,1.572-1.742,
18,917.51-999.98,2.003-2.374,2.734-3.372,14.00-14.88,4.96-16.08,119.5-143.9,114.0-127.4,1.743-1.896,
19,999.99-2000,2.375-5,3.373-5,0-13.99,0-4.95,144.0-300,127.5-300,1.897-5,
20,---,---,---,---,---,---,---,---,
