ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,---,---,---,---,---,---,---,---,
1,---,---,---,---,---,---,---,---,
2,50-220.47,0-0.120,0-0.097,335.14-700,349.65-700,0-2.3,0-1.7,-1.181,
3,220.48-358.67,0.121-0.498,0.098-0.673,53.81-335.13,57.26-349.64,2.4-4.9,1.8-3.1,-1.754,
4,358.68-407.23,0.499-0.725,0.674-1.048,52.07-53.80,52.15-57.25,5.0-6.8,3.2-4.7,-0.399,
5,407.24-458.21,0.726-0.791,1.049-1.190,40.63-52.06,49.13-52.14,6.9-8.5,4.8-6.7,-0.397,
6,458.22-478.48,0.792-0.844,1.191-1.265,34.91-40.62,35.27-49.12,8.6-12.3,6.8-12.8,-0.298,
7,478.49-512.37,0.845-0.924,1.266-1.332,29.48-34.90,29.35-35.26,12.4-17.1,12.9-17.2,-0.17,
8,512.38-563.50,0.925-0.969,1.333-1.454,25.33-29.47,25.85-29.34,17.2-26.4,17.3-28.2,-0.361,
9,563.51-597.60,0.970-1.045,1.455-1.559,23.24-25.32,23.88-25.84,26.5-36.0,28.3-32.3,-0.376,
10,597.61-631.57,1.046-1.115,1.560-1.646,20.80-23.23,22.63-23.87,36.1-47.4,32.4-43.6,-0.225,
11,631.58-652.68,1.116-1.148,1.647-1.741,19.73-20.79,20.94-22.62,47.5-57.5,43.7-54.3,0.170-0.559,
12,652.69-691.91,1.149-1.196,1.742-1.836,18.52-19.72,19.60-20.93,57.6-66.4,54.4-64.4,0.560-0.857,
13,691.92-704.85,1.197-1.292,1.837-1.953,17.72-18.51,18.83-19.59,66.5-77.2,64.5-73.8,0.858-1.094,
14,704.86-758.16,1.293-1.428,1.954-2.227,16.65-17.71,17.48-18.82,77.3-85.1,73.9-83.7,1.095-1.303,
15,758.17-788.99,1.429-1.519,2.228-2.515,16.05-16.64,16.93-17.47,85.2-91.4,83.8-96.2,1.304-1.511,
16,789.00-826.04,1.520-1.825,2.516-3.120,13.23-16.04,13.22-16.92,91.5-100.3,96.3-99.5,1.512-1.654,
17,826.05-1360.26,1.826-3.464,3.121-4.362,3.53-13.22,1.29-13.21,100.4-186.8,99.6-182.3,1.655-3.537,
18,1360.27-2000,3.465-5,4.363-5,0-3.52,0-1.28,186.9-300,182.4-300,3.538-5,
19,---,---,---,---,---,---,---,---,
20,---,---,---,---,---,---,---,---,
