ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,50-61.08,0-0.002,0-0.002,630.70-700,637.43-700,0-2.3,0-2.2,---,
1,61.09-261.43,0.003-0.027,0.003-0.033,44.59-630.69,68.20-637.42,2.4-20.7,2.3-22.3,-1.731,
2,261.44-295.75,0.028-0.176,0.034-0.172,33.17-44.58,43.99-68.19,20.8-27.4,22.4-24.3,-1.647,
3,295.76-324.87,0.177-0.610,0.173-0.786,31.06-33.16,36.43-43.98,27.5-31.0,24.4-28.7,-0.126,
4,324.88-375.47,0.611-0.700,0.787-0.992,29.99-31.05,33.41-36.42,31.1-34.6,28.8-34.4,-0.345,
5,375.48-411.06,0.701-0.779,0.993-1.098,27.92-29.98,29.64-33.40,34.7-37.7,34.5-38.2,-0.36,
6,411.07-462.42,0.780-0.876,1.099-1.222,25.22-27.91,27.06-29.63,37.8-44.9,38.3-42.8,-0.433,
7,462.43-503.45,0.877-0.956,1.223-1.335,23.45-25.21,24.67-27.05,45.0-50.5,42.9-49.6,-0.24,
8,503.46-559.82,0.957-1.025,1.336-1.437,22.02-23.44,23.11-24.66,50.6-58.4,49.7-56.3,-0.299,
9,559.83-594.00,1.026-1.102,1.438-1.540,20.51-22.01,21.57-23.10,58.5-66.1,56.4-63.5,0.189-0.484,
10,594.01-625.20,1.103-1.161,1.541-1.656,19.20-20.50,20.57-21.56,66.2-73.8,63.6-70.5,0.485-0.645,
11,625.21-653.39,1.162-1.227,1.657-1.764,18.25-19.19,19.52-20.56,73.9-82.0,70.6-80.4,0.646-0.917,
12,653.40-692.60,1.228-1.290,1.765-1.907,17.47-18.24,18.41-19.51,82.1-95.8,80.5-91.9,0.918-0.951,
13,692.61-724.91,1.291-1.397,1.908-2.032,16.57-17.46,17.63-18.40,95.9-110.2,92.0-103.8,0.952-1.093,
14,724.92-750.13,1.398-1.470,2.033-2.163,15.83-16.56,16.77-17.62,110.3-119.4,103.9-115.3,1.094-1.391,
15,750.14-799.10,1.471-1.600,2.164-2.484,15.21-15.82,15.86-16.76,119.5-130.6,115.4-125.5,1.392-1.527,
16,799.11-836.77,1.601-1.673,2.485-2.563,14.42-15.20,15.38-15.85,130.7-146.2,125.6-133.9,1.528-1.902,
17,836.78-873.90,1.674-1.816,2.564-2.766,13.98-14.41,14.79-15.37,146.3-154.1,134.0-142.2,1.903-2.126,
18,873.91-894.94,1.817-1.917,2.767-3.451,8.42-13.97,13.25-14.78,154.2-163.7,142.3-146.8,2.127-2.410,
19,894.95-1925.14,1.918-4.702,3.452-4.867,0.26-8.41,1.30-13.24,163.8-284.3,146.9-282.7,2.411-5,
20,1925.15-2000,4.703-5,4.868-5,0-0.25,0-1.29,284.4-300,282.8-300,---,
