ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,50-217.12,0-0.027,0-0.019,81.97-700,83.78-700,0-3.7,0-0.4,-0.829,
1,217.13-262.39,0.028-0.124,0.020-0.103,71.81-81.96,81.19-83.77,3.8-4.8,0.5-1.4,-1.016,
2,262.40-306.46,0.125-0.425,0.104-0.823,58.21-71.80,72.67-81.18,4.9-6.1,1.5-4.5,-0.962,
3,306.47-377.70,0.426-0.641,0.824-1.057,51.50-58.20,61.05-72.66,6.2-8.0,4.6-7.2,-0.355,
4,377.71-412.86,0.642-0.728,1.058-1.132,41.61-51.49,51.28-61.04,8.1-9.4,7.3-9.1,-0.324,
5,412.87-464.64,0.729-0.797,1.133-1.241,35.34-41.60,40.25-51.27,9.5-13.7,9.2-12.7,-0.282,
6,464.65-515.39,0.798-0.862,1.242-1.319,29.45-35.33,32.88-40.24,13.8-18.7,12.8-17.8,-0.276,
7,515.40-552.36,0.863-0.922,1.320-1.390,25.72-29.44,28.05-32.87,18.8-24.5,17.9-24.1,-0.275,
8,552.37-593.72,0.923-0.989,1.391-1.490,23.36-25.71,25.27-28.04,24.6-32.0,24.2-30.6,-0.281,
9,593.73-622.19,0.990-1.056,1.491-1.582,21.80-23.35,23.53-25.26,32.1-39.6,30.7-38.6,-0.278,
10,622.20-655.52,1.057-1.126,1.583-1.671,20.41-21.79,21.92-23.52,39.7-49.4,38.7-46.2,-0.323,
11,655.53-693.39,1.127-1.197,1.672-1.783,19.24-20.40,20.59-21.91,49.5-58.6,46.3-54.5,0.212-0.557,
12,693.40-720.93,1.198-1.274,1.784-1.912,18.37-19.23,19.57-20.58,58.7-67.1,54.6-63.0,0.558-0.712,
13,720.94-750.06,1.275-1.363,1.913-2.029,17.40-18.36,18.65-19.56,67.2-78.8,63.1-73.9,0.713-0.927,
14,750.07-783.07,1.364-1.471,2.030-2.177,16.58-17.39,17.66-18.64,78.9-89.4,74.0-84.7,0.928-1.070,
15,783.08-813.13,1.472-1.600,2.178-2.375,15.93-16.57,16.93-17.65,89.5-103.1,84.8-95.5,1.071-1.375,
16,813.14-850.54,1.601-1.694,2.376-2.624,15.02-15.92,16.22-16.92,103.2-115.0,95.6-105.6,1.376-1.668,
17,850.55-914.93,1.695-1.812,2.625-2.935,14.33-15.01,15.67-16.21,115.1-129.3,105.7-119.6,1.669-1.930,
18,914.94-934.13,1.813-1.943,2.936-3.235,13.77-14.32,14.54-15.66,129.4-134.1,119.7-126.6,1.931-2.122,
19,934.14-1036.98,1.944-2.628,3.236-3.851,0.66-13.76,11.24-14.53,134.2-140.1,126.7-147.7,2.123-2.383,
20,1036.99-2000,2.629-5,3.852-5,0-0.65,0-11.23,140.2-300,147.8-300,2.384-5,
