gender,agegrp,sadj4,sadj6,sadj7,sadj20,sadj21,sadj22,sadj23,sadj31,sadj32,sadj33,dadj3,dadj14,dadj17,dadj23,fadj5,fadj8,vadj9,vadj10,vadj11,vadj12,vadj13,vadj14,vadj15,vadj16,gadj3,gadj4,gadj5,gadj6,gadj7,gadj8,gadj9,gadj10,gadj11,gadj12,gadj13,gadj14,gadj15,gadj16,gadj17,gadj18,gadj19,gadj20,gadj21,gadj22,gadj23,gadj24,gadj25,gadj26,gadj27,gadj28,gadj29,gadj30,gadj34,gadj35,gadj36,padj5,padj8,padj9,padj10,padj11,padj12,padj13,padj14,padj15,padj16
1,1,2.757000,1.593750,3.516667,1.510000,2.190000,2.285000,1.870000,0.070000,0.980000,2.120000,0.721875,0.423333,0.562500,0.070000,0.620000,0.535000,0.115000,0.280000,0.400000,0.372500,0.332500,0.070000,0.080000,0.270000,181.063000,128.820000,155.000000,36.475000,185.250000,91.000000,11.327500,42.500000,72.502500,75.987500,49.621667,80.116667,15.560000,138.130000,21.632500,28.875000,83.000000,15.000000,46.500000,29.600000,66.250000,12.250000,104.815000,22.500000,21.000000,24.413750,43.875000,25.062500,24.500000,66.780000,21.000000,0.620000,0.535000,0.115000,0.280000,0.400000,0.372500,0.332500,0.076667,0.080000,0.270000
1,2,4.270000,0.495000,4.470000,1.750000,2.390000,2.475000,2.930000,0.130000,1.030000,2.670000,0.756250,0.670000,0.670000,0.110000,0.635000,0.668333,0.220000,0.320000,0.360000,0.343333,0.320000,0.120000,0.060000,0.355000,189.576000,199.550000,159.032500,98.365000,221.690000,113.000000,22.500000,49.880000,68.235000,66.156667,50.000000,121.585000,14.630000,186.000000,23.000000,47.083333,88.880000,21.600000,56.000000,31.250000,74.000000,17.065000,39.190000,34.750000,27.750000,29.000000,34.310000,32.380000,30.875000,33.345000,30.000000,0.635000,0.668333,0.220000,0.320000,0.360000,0.343333,0.320000,0.120000,0.060000,0.355000
1,3,5.110000,0.990000,4.341250,1.310000,3.840000,2.900000,3.240000,0.072500,0.825000,2.790000,0.815000,0.605000,0.650000,0.160000,0.660000,0.710000,0.170000,0.370000,0.490000,0.330000,0.386667,0.117500,0.080000,0.422500,199.065000,238.725000,165.333333,100.365000,209.000000,121.340000,18.330000,56.750000,102.500000,63.500000,58.360000,118.062500,15.780000,236.375000,24.000000,48.000000,115.095000,16.375000,77.000000,34.800000,78.000000,22.500000,34.065000,33.905000,27.000000,28.550000,41.845000,37.125000,28.800000,38.250000,29.827500,0.660000,0.710000,0.170000,0.370000,0.490000,0.330000,0.386667,0.122500,0.080000,0.422500
1,4,6.902500,0.990000,4.670000,1.850000,3.875000,3.280000,3.850000,0.100000,1.530000,3.227500,0.915333,0.620000,0.680000,0.162500,0.746667,0.702500,0.190000,0.410000,0.590000,0.430000,0.490000,0.115000,0.167500,0.420000,225.751250,322.506250,187.250000,78.165000,247.000000,118.625000,20.630000,63.000000,105.000000,86.750000,63.436667,116.955000,32.000000,248.000000,28.250000,52.000000,121.875000,17.875000,75.500000,39.875000,83.250000,20.950000,43.560000,36.875000,32.845000,30.000000,45.362500,38.250000,35.330000,38.250000,38.300000,0.746667,0.702500,0.190000,0.410000,0.590000,0.430000,0.490000,0.115000,0.167500,0.420000
1,5,7.257500,2.970000,5.768333,1.800000,4.210000,3.310000,4.810000,0.085000,0.940000,3.200000,0.896667,0.685000,0.670000,0.160000,0.840000,0.876333,0.170000,0.390000,0.400000,0.430000,0.405000,0.120000,0.090000,0.575000,219.600000,338.900000,209.000000,98.935000,292.698333,128.666667,18.315000,60.350000,95.595000,84.320000,61.360000,127.000000,19.500000,252.575000,26.175000,52.000000,138.250000,20.000000,76.000000,41.000000,113.400000,18.380000,45.922500,36.250000,29.750000,36.750000,54.655000,37.000000,36.750000,42.500000,32.065000,0.840000,0.876333,0.170000,0.390000,0.400000,0.430000,0.405000,0.120000,0.090000,0.575000
1,6,7.948750,0.690000,5.720000,2.030000,4.930000,3.260000,3.600000,0.075000,2.315000,3.400000,1.000000,0.640000,0.680000,0.190000,0.820000,1.046667,0.380000,0.467500,0.775000,0.475000,0.542500,0.110000,0.080000,0.470000,244.000000,369.000000,217.880000,95.050000,346.695000,149.000000,41.250000,74.810000,153.065000,94.880000,73.500000,127.000000,15.560000,255.750000,28.300000,54.000000,158.000000,21.500000,81.000000,43.000000,120.000000,38.000000,43.560000,42.500000,38.250000,39.720000,72.875000,39.310000,43.560000,40.595000,39.750000,0.820000,1.046667,0.380000,0.467500,0.775000,0.475000,0.542500,0.110000,0.080000,0.470000
1,7,8.990000,1.343750,6.990000,3.150000,5.130000,3.837500,5.610000,0.000000,1.520000,3.770000,1.030000,0.960000,0.720000,0.262500,0.980000,0.910000,0.235000,0.490000,0.800000,0.670000,0.520000,0.162500,0.167500,0.530000,251.083333,370.000000,248.000000,132.406250,371.230000,143.672500,25.785000,77.250000,157.500000,142.310000,80.000000,170.000000,32.122500,263.500000,28.350000,56.000000,207.380000,30.000000,95.500000,51.725000,129.500000,43.405000,65.345000,44.345000,46.220000,43.560000,76.500000,44.345000,53.300000,42.500000,47.842500,0.980000,0.910000,0.235000,0.490000,0.800000,0.670000,0.520000,0.162500,0.167500,0.530000
1,8,9.530000,1.485000,7.680000,3.130000,4.390000,3.685833,4.810000,0.200000,2.570000,4.190000,1.030000,1.110000,0.785000,0.285000,1.000000,0.857500,0.259167,0.550000,0.710000,0.645000,0.440000,0.200000,0.190000,0.540000,250.000000,410.666667,249.000000,172.800000,449.333333,140.666667,28.510000,85.500000,157.500000,120.440000,68.250000,211.200000,36.742500,304.000000,30.583333,56.000000,148.500000,28.750000,90.000000,47.750000,143.875000,19.500000,47.130000,41.065000,56.310000,47.130000,64.810000,39.905000,46.630000,46.565000,52.560000,1.000000,0.857500,0.259167,0.550000,0.710000,0.645000,0.440000,0.200000,0.190000,0.540000
1,9,9.596667,0.990000,9.025000,2.810000,4.050000,4.650000,4.810000,0.000000,2.080000,4.705000,1.150833,1.130000,0.890000,0.210000,1.305000,0.990000,0.250000,0.550000,0.845000,0.650000,0.525000,0.210000,0.110000,0.560000,282.125000,446.633333,326.810000,196.130000,458.333333,148.000000,27.500000,85.000000,157.500000,126.500000,79.625000,216.000000,20.750000,304.000000,33.750000,59.166667,176.530000,26.250000,90.000000,56.000000,111.000000,42.500000,91.000000,47.282500,55.095000,52.560000,59.750000,61.250000,50.750000,87.500000,54.750000,1.305000,0.990000,0.250000,0.550000,0.845000,0.650000,0.525000,0.220000,0.110000,0.560000
1,10,9.560000,0.745000,8.665000,2.605000,2.987500,4.160000,4.820000,0.000000,2.080000,4.315000,1.062500,1.125000,0.760000,0.240000,1.305000,0.760000,0.300000,0.560000,0.850000,0.560000,0.545000,0.240000,0.170000,0.605000,263.091667,445.716667,327.472500,221.425000,495.000000,130.375000,32.000000,85.500000,157.500000,126.500000,76.500000,218.805000,32.000000,326.815000,28.350000,57.435000,197.500000,25.795000,70.000000,59.750000,120.000000,45.190000,165.000000,48.560000,58.000000,53.625000,79.905000,54.569167,48.565000,89.230000,58.530000,1.305000,0.760000,0.300000,0.560000,0.850000,0.560000,0.545000,0.260000,0.170000,0.605000
1,11,9.803333,0.660000,9.150000,3.287500,3.265000,4.040000,4.917500,0.000000,2.570000,4.445000,1.250000,1.160000,0.740000,0.260000,1.060000,0.721667,0.265000,0.640000,0.888750,0.730000,0.555000,0.230000,0.170000,0.680000,320.250000,444.825000,295.690000,212.162500,488.000000,136.000000,27.775000,97.500000,175.500000,138.280000,77.873333,230.400000,32.000000,264.500000,28.350000,56.000000,172.300000,28.500000,90.000000,56.000000,114.812500,55.130000,224.815000,45.000000,56.000000,54.967500,111.280000,51.065000,63.916667,152.500000,56.000000,1.060000,0.721667,0.265000,0.640000,0.888750,0.730000,0.555000,0.240000,0.170000,0.680000
