Source,Number of sources,Variable,Task,Ethnicity,Age ,Age_sign1,Age_value1,Age_sign2,Age_value2,Unit,Sex,Education,Socioeconomic status,Sign_1,Cut_off_value_1,Sign_2,Cut_off_value_2,Unit,Interpretation 1,Interpretation 2,Comments
https://www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/alcohol-use-screening#noJavascript,1,Audit-C Score,Social History,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,>=,0,<=,2,NA,Few or no symptoms of alcohol dependence,NA,NA
https://www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/alcohol-use-screening#noJavascript,1,Audit-C Score,Social History,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,>=,3,<=,7,NA,Minimal symptoms of alcohol dependence,NA,NA
https://www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/alcohol-use-screening#noJavascript,1,Audit-C Score,Social History,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,>=,0,<=,3,NA,Few or no symptoms of alcohol dependence,NA,NA
https://www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/alcohol-use-screening#noJavascript,1,Audit-C Score,Social History,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,>=,4,<=,7,NA,Minimal symptoms of alcohol dependence,NA,NA
https://www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/alcohol-use-screening#noJavascript,1,Audit-C Score,Social History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,8,<=,12,NA,Symptoms of alcohol dependence,NA,NA
http://www.integration.samhsa.gov/images/res/tool_auditc.pdf,2,Positive Audit-C,Social History,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,>=,3,NA,NA,NA,Hazardous drinking or active alcohol use disorders,NA,NA
http://www.integration.samhsa.gov/images/res/tool_auditc.pdf,2,Positive Audit-C,Social History,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,>=,4,NA,NA,NA,Hazardous drinking or active alcohol use disorders,NA,NA
https://www.queri.research.va.gov/tools/alcohol-misuse/alcohol-faqs.cfm#6,2,Positive Audit-C,Social History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,4,NA,NA,NA,Medication adherence decreases as AUDIT-C score increases,NA,NA
https://www.queri.research.va.gov/tools/alcohol-misuse/alcohol-faqs.cfm#6,2,Positive Audit-C,Social History,NA,< 50 years,<,50,NA,NA,years,Male,NA,NA,>=,6,NA,NA,NA,Gastrointestinal bleeding,NA,NA
https://www.queri.research.va.gov/tools/alcohol-misuse/alcohol-faqs.cfm#6,2,Positive Audit-C,Social History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,8,NA,NA,NA,Increased risks for subsequent fractures,NA,NA
https://www.queri.research.va.gov/tools/alcohol-misuse/alcohol-faqs.cfm#6,2,Positive Audit-C,Social History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=,10,NA,NA,NA,Increased mortality,NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Sleep duration,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Sleep disturbance,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
http://www.psychiatry.pitt.edu/sites/default/files/page-images/PSQI_Scoring.doc; https://www.ncbi.nlm.nih.gov/pubmed/2748771,2,Sleep latency,Pittsburgh Sleep Quality Index (PSQI),NA,24 - 83 years,>=,24,<=,83,years,NA,NA,NA,>=,0,<=,3,NA,0 (better) -3 (worse),NA,NA
