variable,mean,sd,age_min,age_max,gender
percent_skeletal_muscle,NA,NA,0,18,2
percent_skeletal_muscle,34.1,5.7,18,29,2
percent_skeletal_muscle,30.6,5.6,30,39,2
percent_skeletal_muscle,29.2,5,40,49,2
percent_skeletal_muscle,29.1,4.4,50,59,2
percent_skeletal_muscle,27.3,4.6,60,69,2
percent_skeletal_muscle,30.2,4.7,70,200,2
percent_skeletal_muscle,NA,NA,0,18,1
percent_skeletal_muscle,42.3,4.4,18,29,1
percent_skeletal_muscle,39.1,5,30,39,1
percent_skeletal_muscle,37.1,4,40,49,1
percent_skeletal_muscle,35.1,3.4,50,59,1
percent_skeletal_muscle,33.8,3.9,60,69,1
percent_skeletal_muscle,36,7.3,70,200,1
waist_to_hip_ratio_score,0.882,0.11,NA,NA,NA
sbsi_score,0.108,0.006,NA,NA,1
sbsi_score,0.107,0.007,NA,NA,2
trunk_to_leg_volume_ratio,1.46,0.22,NA,NA,NA
flexibility,50,10,NA,NA,NA
attention,50,10,NA,NA,NA
processing_speed,50,10,NA,NA,NA
episodic_memory,50,10,NA,NA,NA
vocabulary,50,10,NA,NA,NA
bam_theta,50,10,NA,NA,NA
dominant_hand_dexterity,50,10,NA,NA,NA
non_dominant_hand_dexterity,50,10,NA,NA,NA
endurance,50,10,NA,NA,NA
lo4mt_fast_pace,50,10,NA,NA,NA
lo4mt_usual_pace,50,10,NA,NA,NA
dominant_hand_grip_strength,50,10,NA,NA,NA
non_dominant_hand_grip_strength,50,10,NA,NA,NA
balance_score,50,10,NA,NA,NA
waist_to_hip_ratio_score,NA,NA,0,18,2
waist_to_hip_ratio_score,0.8745,0.076024667,18,29,2
waist_to_hip_ratio_score,0.9056,0.076737475,30,39,2
waist_to_hip_ratio_score,0.9363,0.073997651,40,49,2
waist_to_hip_ratio_score,0.9588,0.073773708,50,59,2
waist_to_hip_ratio_score,0.9766,0.071361334,60,69,2
waist_to_hip_ratio_score,0.983,0.072876608,70,200,2
waist_to_hip_ratio_score,NA,NA,0,18,1
waist_to_hip_ratio_score,0.8189,0.067995494,18,29,1
waist_to_hip_ratio_score,0.8341,0.070872511,30,39,1
waist_to_hip_ratio_score,0.8518,0.073462644,40,49,1
waist_to_hip_ratio_score,0.8727,0.077241927,50,59,1
waist_to_hip_ratio_score,0.8935,0.075692851,60,69,1
waist_to_hip_ratio_score,0.9141,0.073696608,70,200,1
