Variable,Display Variable,Source,DBID,Units,Data Type,Notes
phq9_score,Mental Health Score,Patient Health Questionaire,phq9_score,,Q,
sleep_duration,Sleep duration,Pittsburgh Sleep Quality Index (PSQI),,,Q,
sleep_disturbance,Sleep disturbance,Pittsburgh Sleep Quality Index (PSQI),,,Q,
sleep_latency,Sleep latency,Pittsburgh Sleep Quality Index (PSQI),,,Q,
daytime_dysfunction_due_to_sleepiness,Daytime dysfunction due to sleepiness,Pittsburgh Sleep Quality Index (PSQI),,,Q,
sleep_efficiency,Sleep efficiency,Pittsburgh Sleep Quality Index (PSQI),,,Q,
overall_sleep_quality,Overall sleep quality,Pittsburgh Sleep Quality Index (PSQI),,,Q,
need_meds_to_sleep,Need meds to sleep,Pittsburgh Sleep Quality Index (PSQI),,,Q,
psqi_total_score,PSQI Total Score,Pittsburgh Sleep Quality Index (PSQI),,,Q,
physical_activity_level,Physical activity level,International Physical Activity Questionnaire (IPAQ),,,Q,
walking_physical_activity,Walking physical activity,International Physical Activity Questionnaire (IPAQ),,,Q,
moderate_physical_activity,Moderate physical activity,International Physical Activity Questionnaire (IPAQ),,,Q,
vigorous_physical_activity,Vigorous physical activity,International Physical Activity Questionnaire (IPAQ),,,Q,
total_energy_expenditure_in_activity,Total energy expenditure in activity,International Physical Activity Questionnaire (IPAQ),,,Q,
fruit_intake,Fruits,NHANES Dietary Screener Questionnaire - DSQ,DSQfrt,,Q,Predicted intake of fruits (cup equivalents) per day
vegetable_intake,Vegetables,NHANES Dietary Screener Questionnaire - DSQ,DSQvlnf,,Q,Predicted intake of vegetables including legumes and excluding French fries (cup equivalents) per day
dairy_intake,Dairy,NHANES Dietary Screener Questionnaire - DSQ,DSQdairy,,Q,Predicted intake of dairy (cup equivalents) per day
added_sugars,Added Sugars,NHANES Dietary Screener Questionnaire - DSQ,DSQsug,,Q,Predicted intake of total added sugars (tsp equivalents) per day
whole_grain_intake,Whole Gains,NHANES Dietary Screener Questionnaire - DSQ,DSQwhgr,,Q,Predicted intake of whole grains (ounce equivalents) per day
fiber_intake,Fiber,NHANES Dietary Screener Questionnaire - DSQ,DSQfib,,Q,Predicted intake of fiber (gm) per day
calcium_intake,Calcium,NHANES Dietary Screener Questionnaire - DSQ,DSQcalc,,Q,Predicted intake of calcium (mg) per day
DSQfvl,Fruits and Vegetables including French Fries,NHANES Dietary Screener Questionnaire - DSQ,DSQfvl,,Q,Predicted intake of fruits and vegetables including legumes and French fries (cup equivalents) per day
DSQvlall,Vegetables Including French Fries,NHANES Dietary Screener Questionnaire - DSQ,DSQvlall,,Q,Predicted intake of vegetables including legumes and French fries (cup equivalents) per day
DSQssb,Added Sugar from Beverages,NHANES Dietary Screener Questionnaire - DSQ,DSQssb,,Q,Predicted intake of added sugars from sugar-sweetened beverages (tsp equivalents) per day
