out_name,coeff,in_name
gmilk,gadj3,milk
gsoda,gadj4,soda
gfrtjc,gadj5,fruit_juice
gswtct,gadj6,coffee
genergy,gadj7,sweet_drinks
gfruit,gadj8,fruit
gsalad,gadj9,salad
gfrfry,gadj10,potatoes_fried
gothpot,gadj11,potatoes_other
gbean,gadj12,dry_beans
gothveg,gadj13,vegetables
gpizza,gadj14,pizza
gsalsa,gadj15,salsa
gtomsc,gadj16,tomato_sauce
gcheese,gadj17,cheese
gwhgbrd,gadj18,bread
gbrrice,gadj19,grains
gcandy,gadj20,candy
gdonut,gadj21,doughnuts
gcake,gadj22,cookies
gicecrm,gadj23,desserts
gpopcorn,gadj24,popcorn
gfb1f,gadj25,fib1
gfb2f,gadj26,fib2
gfb3f,gadj27,fib3
gcm1f,gadj28,calc1
gcm2f,gadj29,calc2
gcm3f,gadj30,calc3
gwg1f,gadj34,whg1
gwg2f,gadj35,whg2
gwg3f,gadj36,whg3
dmilk,dadj3,milk
dcheese,dadj17,cheese
dpizza,dadj14,pizza
dicecrm,dadj23,desserts
sas1f,sadj31,sug1
sas2f,sadj32,sug2
sas3f,sadj33,sug3
sicecrm,sadj23,desserts
scake,sadj22,cookies
ssoda,sadj4,soda
sswtct,sadj6,coffee
senergy,sadj7,sweet_drinks
scandy,sadj20,candy
sdonut,sadj21,doughnuts
ffrtjc,fadj5,fruit_juice
ffruit,fadj8,fruit
vsalad,vadj9,salad
vfrfry,vadj10,potatoes_fried
vothpot,vadj11,potatoes_other
vbean,vadj12,dry_beans
vothveg,vadj13,vegetables
vpizza,vadj14,pizza
vsalsa,vadj15,salsa
vtomsc,vadj16,tomato_sauce
pfrtjc,padj5,fruit_juice
pfruit,padj8,fruit
psalad,padj9,salad
pfrfry,padj10,potatoes_fried
pothpot,padj11,potatoes_other
pbean,padj12,dry_beans
pothveg,padj13,vegetables
ppizza,padj14,pizza
psalsa,padj15,salsa
ptomsc,padj16,tomato_sauce
