MeasurementName,MeasurementUnit,Sex,AgeMin,AgeMax,Percentile,Value
Weight,lb,Female,0,18,0,7.71617
Weight,lb,Female,18,25,0,79.807244
Weight,lb,Female,26,35,0,82.67325
Weight,lb,Female,36,45,0,81.350478
Weight,lb,Female,46,55,0,87.964338
Weight,lb,Female,56,65,0,83.114174
Weight,lb,Female,66,79,0,80.909554
Weight,lb,Female,80,99,0,71.870612
Weight,lb,Male,0,18,0,7.054784
Weight,lb,Male,18,25,0,90.830344
Weight,lb,Male,26,35,0,96.341894
Weight,lb,Male,36,45,0,119.04948
Weight,lb,Male,46,55,0,114.419778
Weight,lb,Male,56,65,0,94.357736
Weight,lb,Male,66,79,0,81.130016
Weight,lb,Male,80,99,0,104.278526
Weight,lb,Female,0,18,0.1,8.377556
Weight,lb,Female,18,25,0.1,82.342557
Weight,lb,Female,26,35,0.1,85.97422753
Weight,lb,Female,36,45,0.1,89.62309409
Weight,lb,Female,46,55,0.1,89.54505054
Weight,lb,Female,56,65,0.1,84.60802451
Weight,lb,Female,66,79,0.1,90.1028194
Weight,lb,Female,80,99,0.1,77.20491055
Weight,lb,Male,0,18,0.1,8.377556
Weight,lb,Male,18,25,0.1,95.5859298
Weight,lb,Male,26,35,0.1,97.6536429
Weight,lb,Male,36,45,0.1,119.4516027
Weight,lb,Male,46,55,0.1,114.419778
Weight,lb,Male,56,65,0.1,96.6992629
Weight,lb,Male,66,79,0.1,97.68053926
Weight,lb,Male,80,99,0.1,104.9381483
Weight,lb,Female,0,18,0.2,8.598018
Weight,lb,Female,18,25,0.2,84.3487612
Weight,lb,Female,26,35,0.2,87.49078562
Weight,lb,Female,36,45,0.2,94.68578346
Weight,lb,Female,46,55,0.2,91.69984613
Weight,lb,Female,56,65,0.2,86.25487565
Weight,lb,Female,66,79,0.2,95.77089742
Weight,lb,Female,80,99,0.2,82.5392091
Weight,lb,Male,0,18,0.2,8.598018
Weight,lb,Male,18,25,0.2,99.02403469
Weight,lb,Male,26,35,0.2,99.46804516
Weight,lb,Male,36,45,0.2,119.7584858
Weight,lb,Male,46,55,0.2,115.1605303
Weight,lb,Male,56,65,0.2,97.78283363
Weight,lb,Male,66,79,0.2,103.9293142
Weight,lb,Male,80,99,0.2,105.5977706
Weight,lb,Female,0,18,0.3,8.81848
Weight,lb,Female,18,25,0.3,84.8558238
Weight,lb,Female,26,35,0.3,88.29547192
Weight,lb,Female,36,45,0.3,97.08529186
Weight,lb,Female,46,55,0.3,94.59517357
Weight,lb,Female,56,65,0.3,88.05472742
Weight,lb,Female,66,79,0.3,98.36353054
Weight,lb,Female,80,99,0.3,87.87350766
Weight,lb,Male,0,18,0.3,8.825975708
Weight,lb,Male,18,25,0.3,99.15256404
Weight,lb,Male,26,35,0.3,102.3538927
Weight,lb,Male,36,45,0.3,119.8925267
Weight,lb,Male,46,55,0.3,116.6288072
Weight,lb,Male,56,65,0.3,99.79587215
Weight,lb,Male,66,79,0.3,104.7829431
Weight,lb,Male,80,99,0.3,106.2573929
Weight,lb,Female,0,18,0.4,9.259404
Weight,lb,Female,18,25,0.4,85.429025
Weight,lb,Female,26,35,0.4,91.12488123
Weight,lb,Female,36,45,0.4,97.55355315
Weight,lb,Female,46,55,0.4,98.86309743
Weight,lb,Female,56,65,0.4,90.69189386
Weight,lb,Female,66,79,0.4,98.66997272
Weight,lb,Female,80,99,0.4,92.27922026
Weight,lb,Male,0,18,0.4,9.195910944
Weight,lb,Male,18,25,0.4,99.57386692
Weight,lb,Male,26,35,0.4,106.831476
Weight,lb,Male,36,45,0.4,120.4075259
Weight,lb,Male,46,55,0.4,117.3651503
Weight,lb,Male,56,65,0.4,102.8578689
Weight,lb,Male,66,79,0.4,106.5678034
Weight,lb,Male,80,99,0.4,106.8006113
Weight,lb,Female,0,18,0.5,9.259404
Weight,lb,Female,18,25,0.5,86.06285325
Weight,lb,Female,26,35,0.5,92.58411921
Weight,lb,Female,36,45,0.5,98.49801236
Weight,lb,Female,46,55,0.5,100.2936754
Weight,lb,Female,56,65,0.5,93.61808599
Weight,lb,Female,66,79,0.5,99.70945105
Weight,lb,Female,80,99,0.5,92.91701683
Weight,lb,Male,0,18,0.5,9.56584618
Weight,lb,Male,18,25,0.5,100.2165137
Weight,lb,Male,26,35,0.5,112.2096465
Weight,lb,Male,36,45,0.5,121.033638
Weight,lb,Male,46,55,0.5,118.0265363
Weight,lb,Male,56,65,0.5,105.9011263
Weight,lb,Male,66,79,0.5,108.5025779
