MeasurementName	MeasurementUnit	Sex	AgeMin	AgeMax	Percentile	Value
Weight	lb	Female	0	18	0	7.71617
Weight	lb	Female	18	25	0	79.807244
Weight	lb	Female	26	35	0	82.67325
Weight	lb	Female	36	45	0	81.350478
Weight	lb	Female	46	55	0	87.964338
Weight	lb	Female	56	65	0	83.114174
Weight	lb	Female	66	79	0	80.909554
Weight	lb	Female	80	99	0	71.870612
Weight	lb	Male	0	18	0	7.054784
Weight	lb	Male	18	25	0	90.830344
Weight	lb	Male	26	35	0	96.341894
Weight	lb	Male	36	45	0	119.04948
Weight	lb	Male	46	55	0	114.419778
Weight	lb	Male	56	65	0	94.357736
Weight	lb	Male	66	79	0	81.130016
Weight	lb	Male	80	99	0	104.278526
Weight	lb	Female	0	18	0.1	8.377556
Weight	lb	Female	18	25	0.1	82.342557
Weight	lb	Female	26	35	0.1	85.974227526
Weight	lb	Female	36	45	0.1	89.623094088
Weight	lb	Female	46	55	0.1	89.54505054
Weight	lb	Female	56	65	0.1	84.608024512
Weight	lb	Female	66	79	0.1	90.1028194
Weight	lb	Female	80	99	0.1	77.204910552
Weight	lb	Male	0	18	0.1	8.377556
Weight	lb	Male	18	25	0.1	95.585929802
Weight	lb	Male	26	35	0.1	97.6536429
Weight	lb	Male	36	45	0.1	119.451602688
Weight	lb	Male	46	55	0.1	114.419778
Weight	lb	Male	56	65	0.1	96.699262902
Weight	lb	Male	66	79	0.1	97.680539264
Weight	lb	Male	80	99	0.1	104.938148304
Weight	lb	Female	0	18	0.2	8.598018
Weight	lb	Female	18	25	0.2	84.3487612
Weight	lb	Female	26	35	0.2	87.490785624
Weight	lb	Female	36	45	0.2	94.685783456
Weight	lb	Female	46	55	0.2	91.699846128
Weight	lb	Female	56	65	0.2	86.254875652
Weight	lb	Female	66	79	0.2	95.77089742
Weight	lb	Female	80	99	0.2	82.539209104
Weight	lb	Male	0	18	0.2	8.598018
Weight	lb	Male	18	25	0.2	99.024034692
Weight	lb	Male	26	35	0.2	99.46804516
Weight	lb	Male	36	45	0.2	119.758485792
Weight	lb	Male	46	55	0.2	115.16053032
Weight	lb	Male	56	65	0.2	97.782833632
Weight	lb	Male	66	79	0.2	103.929314192
Weight	lb	Male	80	99	0.2	105.597770608
Weight	lb	Female	0	18	0.3	8.81848
Weight	lb	Female	18	25	0.3	84.8558238
Weight	lb	Female	26	35	0.3	88.295471924
Weight	lb	Female	36	45	0.3	97.085291864
Weight	lb	Female	46	55	0.3	94.595173574
Weight	lb	Female	56	65	0.3	88.05472742
Weight	lb	Female	66	79	0.3	98.36353054
Weight	lb	Female	80	99	0.3	87.873507656
Weight	lb	Male	0	18	0.3	8.825975708
Weight	lb	Male	18	25	0.3	99.152564038
Weight	lb	Male	26	35	0.3	102.35389274
Weight	lb	Male	36	45	0.3	119.892526688
Weight	lb	Male	46	55	0.3	116.62880724
Weight	lb	Male	56	65	0.3	99.795872154
Weight	lb	Male	66	79	0.3	104.782943056
Weight	lb	Male	80	99	0.3	106.257392912
Weight	lb	Female	0	18	0.4	9.259404
Weight	lb	Female	18	25	0.4	85.429025
Weight	lb	Female	26	35	0.4	91.124881232
Weight	lb	Female	36	45	0.4	97.553553152
Weight	lb	Female	46	55	0.4	98.863097432
Weight	lb	Female	56	65	0.4	90.691893864
Weight	lb	Female	66	79	0.4	98.66997272
Weight	lb	Female	80	99	0.4	92.279220264
Weight	lb	Male	0	18	0.4	9.195910944
Weight	lb	Male	18	25	0.4	99.57386692
Weight	lb	Male	26	35	0.4	106.83147596
Weight	lb	Male	36	45	0.4	120.40752592
Weight	lb	Male	46	55	0.4	117.36515032
Weight	lb	Male	56	65	0.4	102.857868872
Weight	lb	Male	66	79	0.4	106.567803408
Weight	lb	Male	80	99	0.4	106.80061128
Weight	lb	Female	0	18	0.5	9.259404
Weight	lb	Female	18	25	0.5	86.06285325
Weight	lb	Female	26	35	0.5	92.58411921
Weight	lb	Female	36	45	0.5	98.49801236
Weight	lb	Female	46	55	0.5	100.29367535
Weight	lb	Female	56	65	0.5	93.61808599
Weight	lb	Female	66	79	0.5	99.70945105
Weight	lb	Female	80	99	0.5	92.91701683
Weight	lb	Male	0	18	0.5	9.56584618
Weight	lb	Male	18	25	0.5	100.21651365
Weight	lb	Male	26	35	0.5	112.20964645
Weight	lb	Male	36	45	0.5	121.033638
Weight	lb	Male	46	55	0.5	118.02653632
Weight	lb	Male	56	65	0.5	105.90112632
Weight	lb	Male	66	79	0.5	108.50257792
