ss,,,,,,,,,ss
,Endurance,LO4MT,LO4MT,DX9H,DX9H,MSGS,MSGS,BAM Theta,
,,Usual Pace,Fast Pace,Dominant,Non-Dominant,Dominant,Non-Dominant,,
0,---,---,---,---,---,---,---,---,
1,---,---,---,---,---,---,---,---,
2,50-304.59,0-0.170,0-0.141,46.70-700,49.13-700,0-24.4,0-25.3,-2.923,
3,304.60-360.13,0.171-0.456,0.142-0.633,30.30-46.69,33.72-49.12,24.5-31.6,25.4-29.4,-1.616,
4,360.14-375.11,0.457-0.788,0.634-1.035,28.36-30.29,30.04-33.71,31.7-34.3,29.5-32.0,-0.32,
5,375.12-422.11,0.789-0.831,1.036-1.146,26.69-28.35,27.51-30.03,34.4-40.6,32.1-38.8,-0.049,
6,422.12-460.29,0.832-0.876,1.147-1.279,24.84-26.68,25.81-27.50,40.7-47.7,38.9-45.9,-0.128,
7,460.30-490.47,0.877-0.925,1.280-1.354,22.48-24.83,24.39-25.80,47.8-51.3,46.0-50.8,0.041-0.345,
8,490.48-511.27,0.926-0.976,1.355-1.455,21.66-22.47,23.22-24.38,51.4-59.8,50.9-57.6,0.346-0.554,
9,511.28-558.86,0.977-1.045,1.456-1.538,20.37-21.65,21.99-23.21,59.9-67.8,57.7-63.6,0.555-0.684,
10,558.87-586.07,1.046-1.098,1.539-1.634,19.54-20.36,20.78-21.98,67.9-73.4,63.7-69.5,0.685-0.915,
11,586.08-612.34,1.099-1.181,1.635-1.723,18.60-19.53,19.53-20.77,73.5-79.4,69.6-78.7,0.916-1.015,
12,612.35-645.94,1.182-1.289,1.724-1.840,17.69-18.59,18.52-19.52,79.5-90.4,78.8-87.5,1.016-1.280,
13,645.95-667.41,1.290-1.410,1.841-1.952,16.90-17.68,17.84-18.51,90.5-98.6,87.6-97.9,1.281-1.528,
14,667.42-699.35,1.411-1.559,1.953-2.249,16.05-16.89,17.24-17.83,98.7-109.4,98.0-109.0,1.529-1.698,
15,699.36-750.82,1.560-1.641,2.250-2.371,15.46-16.04,15.92-17.23,109.5-124.8,109.1-127.3,1.699-1.840,
16,750.83-770.27,1.642-1.745,2.372-2.523,14.73-15.45,15.62-15.91,124.9-137.0,127.4-134.4,1.841-2.480,
17,770.28-797.72,1.746-1.775,2.524-2.718,14.06-14.72,15.34-15.61,137.1-145.0,134.5-144.7,2.481-3.676,
18,797.73-2000,1.776-5,2.719-5,0-14.05,0-15.33,145.1-300,144.8-300,3.677-5,
19,---,---,---,---,---,---,---,---,
20,---,---,---,---,---,---,---,---,
