MeasuredStandardScore,PercentileRank,PROStandardTscore,Interpretation_Picture_Vocabulary_Test,Interpretation_Flanker_Inhibitory_Control_and_Attention_Test,Interpretation_Dimensional_Change_Card_Sort_Test,Interpretation_Pattern_Comparison_Processing_Speed_Test,Interpretation_Picture_Sequence_Memory_Test
140,99.6,77,Vocabulary ability is superior,,,,
139,99.5,76,Vocabulary ability is superior,,,,
138,99,75,Vocabulary ability is superior,,,,
137,99,75,Vocabulary ability is superior,,,,
136,99,74,Vocabulary ability is superior,,,,
135,99,73,Vocabulary ability is superior,,,,
134,99,73,Vocabulary ability is superior,,,,
133,99,72,Vocabulary ability is superior,,,,
132,98,71,Vocabulary ability is superior,,,,
131,98,71,Vocabulary ability is superior,,,,
130,98,70,Vocabulary ability is superior,,,,
129,97,69,Vocabulary ability is above-average,,,,
128,97,69,Vocabulary ability is above-average,,,,
127,96,68,Vocabulary ability is above-average,,,,
126,96,67,Vocabulary ability is above-average,,,,
125,95,67,Vocabulary ability is above-average,,,,
124,95,66,Vocabulary ability is above-average,,,,
123,94,65,Vocabulary ability is above-average,,,,
122,93,65,Vocabulary ability is above-average,,,,
121,92,64,Vocabulary ability is above-average,,,,
120,91,63,Vocabulary ability is above-average,,,,
119,90,63,Vocabulary ability is above-average,,,,
118,88,62,Vocabulary ability is above-average,,,,
117,87,61,Vocabulary ability is above-average,,,,
116,86,61,Vocabulary ability is above-average,,,,
115,84,60,Vocabulary ability is above-average,,,,
114,82,59,Vocabulary ability is above-average,,,,
113,81,59,Vocabulary ability is above-average,,,,
112,79,58,Vocabulary ability is above-average,,,,
111,77,57,Vocabulary ability is above-average,,,,
110,75,57,Vocabulary ability is above-average,,,,
109,73,56,Vocabulary ability is above-average,,,,
108,70,55,Vocabulary ability is above-average,,,,
107,68,55,Vocabulary ability is average for the age level,,,,
106,66,54,Vocabulary ability is average for the age level,,,,
105,63,53,Vocabulary ability is average for the age level,,,,
104,61,53,Vocabulary ability is average for the age level,,,,
103,58,52,Vocabulary ability is average for the age level,,,,
102,55,51,Vocabulary ability is average for the age level,,,,
101,53,51,Vocabulary ability is average for the age level,,,,
100,50,50,Vocabulary ability is average for the age level,,,,
99,47,49,Vocabulary ability is average for the age level,,,,
98,45,48,Vocabulary ability is average for the age level,,,,
97,42,48,Vocabulary ability is average for the age level,,,,
96,40,47,Vocabulary ability is average for the age level,,,,
95,37,47,Vocabulary ability is average for the age level,,,,
94,34,46,Vocabulary ability is average for the age level,,,,
93,32,45,Vocabulary ability is average for the age level,,,,
92,30,45,Vocabulary ability is below-average,,,,
91,27,44,Vocabulary ability is below-average,,,,
90,25,43,Vocabulary ability is below-average,,,,
89,23,43,Vocabulary ability is below-average,,,,
88,21,42,Vocabulary ability is below-average,,,,
87,19,41,Vocabulary ability is below-average,,,,
86,18,41,Vocabulary ability is below-average,,,,
85,16,40,Vocabulary ability is below-average,,,,
84,14,39,Vocabulary ability is below-average,,,,
83,13,38,Vocabulary ability is below-average,,,,
82,12,38,Vocabulary ability is below-average,,,,
81,10,37,Vocabulary ability is below-average,,,,
80,9,37,Vocabulary ability is below-average,,,,
79,8,36,Vocabulary ability is below-average,,,,
78,7,35,Vocabulary ability is below-average,,,,
77,6,35,Vocabulary ability is below-average,,,,
76,5,34,Vocabulary ability is below-average,,,,
75,5,33,Vocabulary ability is below-average,,,,
74,4,33,Vocabulary ability is below-average,,,,
73,4,32,Vocabulary ability is below-average,,,,
72,3,31,Vocabulary ability is below-average,,,,
71,3,31,Vocabulary ability is below-average,,,,
70,2,30,Vocabulary ability is marketly low,,,,
69,2,29,Vocabulary ability is marketly low,,,,
68,2,28,Vocabulary ability is marketly low,,,,
67,1,28,Vocabulary ability is marketly low,,,,
66,1,28,Vocabulary ability is marketly low,,,,
65,1,27,Vocabulary ability is marketly low,,,,
64,1,26,Vocabulary ability is marketly low,,,,
63,1,25,Vocabulary ability is marketly low,,,,
62,1,25,Vocabulary ability is marketly low,,,,
61,0.5,24,Vocabulary ability is marketly low,,,,
60,0.4,23,Vocabulary ability is marketly low,,,,
59,0.3,23,Vocabulary ability is marketly low,,,,
