cchoice,food_code,sugnt,whgnt,calcnt,fibnt,Cereal_Name
A,57318000,2,1,2,3,100% Bran
B,57229000,3,3,2,2,100% Low Fat Natural Granola
C,57319000,2,3,3,3,100% Natural Cereal
D,57320500,2,3,3,3,"100% Natural Cereal, with oats, honey and raisins"
E,57320500,2,3,3,3,"100% Natural Granola, Oats & Honey"
F,57321500,2,3,2,3,"100% Natural Wholegrain Cereal with raisins, lowfat"
G,57101000,2,1,3,3,All-Bran
H,57110000,3,1,2,3,All-Bran Bran Buds
I,57101020,1,2,3,3,All-Bran with Extra Fiber
J,57102000,2,3,3,3,Alpen
K,57103000,3,3,2,2,Alpha-Bits
L,57103020,3,2,1,1,Alpha-Bits with marshmallows
M,57103050,1,3,1,3,Amaranth Flakes
N,57104000,3,3,1,3,Apple Jacks
O,57404200,3,3,3,2,Apple Zaps
P,57404200,3,3,3,2,"Apple Zings, Malt-O-Meal"
Q,57106050,2,3,2,3,Banana Nut Crunch Cereal
R,56207340,1,2,1,1,Barley
S,57106100,2,2,3,2,Basic 4
T,57305300,3,1,1,1,"Berry Colossal Crunch, Malt-O-Meal"
U,57106530,3,2,2,2,Blueberry Morning
V,57107000,3,2,3,2,Booberry
W,57207000,2,2,2,3,Bran
X,57110000,3,1,2,3,Bran Buds
Y,57207000,2,2,2,3,Bran flakes
Z,57318000,2,1,2,3,"Bran, Nabisco"
AA,56207190,1,2,1,1,Branola
AB,57327500,2,3,3,3,Brown Sugar Bliss
AC,56200490,1,2,1,2,Buckwheat groats
AD,56207130,1,2,1,2,Bulgur
AE,57117000,3,1,1,2,Cap'n Crunch
AF,57117500,3,1,1,2,Cap'n Crunch's Christmas Crunch
AG,57119000,3,1,1,2,Cap'n Crunch's Crunch Berries
AH,57120000,3,1,1,2,Cap'n Crunch's Oops! ChocoDonuts
AI,57120000,3,1,1,2,Cap'n Crunch's Peanut Butter Crunch
LP,57000000,2,2,3,2,"Cereal, NFS"
,56200300,1,2,1,1,"Cereal, cooked, NFS"
,57100500,3,1,3,2,"Character cereals, TV or movie, Kellogg's"
AJ,57123000,1,3,3,3,Cheerios
