variable,gender,age_min,age_max,percentile,value
Height,2,0,18,0,30.8267883
Height,2,18,25,0,55.5512111
Height,2,26,35,0,55.7086915
Height,2,36,45,0,55.8661719
Height,2,46,55,0,53.2677453
Height,2,56,65,0,51.6142011
Height,2,66,79,0,55.0000297
Height,2,80,99,0,55.3937307
Height,1,0,18,0,31.9291511
Height,1,18,25,0,59.448851
Height,1,26,35,0,60.5512138
Height,1,36,45,0,60.1968829
Height,1,46,55,0,56.9291646
Height,1,56,65,0,58.3464882
Height,1,66,79,0,58.9764098
Height,1,80,99,0,59.6063314
Height,2,0,18,0.1,31.0630089
Height,2,18,25,0.1,55.82286479
Height,2,26,35,0.1,55.98940031
Height,2,36,45,0.1,56.08853422
Height,2,46,55,0.1,54.50979321
Height,2,56,65,0.1,54.01798193
Height,2,66,79,0.1,55.38199841
Height,2,80,99,0.1,55.40412441
Height,1,0,18,0.1,32.51119866
Height,1,18,25,0.1,59.70133145
Height,1,26,35,0.1,60.7392454
Height,1,36,45,0.1,60.48365471
Height,1,46,55,0.1,57.74444063
Height,1,56,65,0.1,59.72790627
Height,1,66,79,0.1,59.72570154
Height,1,80,99,0.1,59.65967789
Height,2,0,18,0.2,31.6913557
Height,2,18,25,0.2,56.100424
Height,2,26,35,0.2,56.2365658
Height,2,36,45,0.2,56.27845559
Height,2,46,55,0.2,55.2905023
Height,2,56,65,0.2,54.64065943
Height,2,66,79,0.2,55.61199853
Height,2,80,99,0.2,55.41451811
Height,1,0,18,0.2,32.77135628
Height,1,18,25,0.2,60.09105607
Height,1,26,35,0.2,60.889088
Height,1,36,45,0.2,60.73672571
Height,1,46,55,0.2,58.67877184
Height,1,56,65,0.2,60.18869392
Height,1,66,79,0.2,60.07310331
Height,1,80,99,0.2,59.71302437
Height,2,0,18,0.3,32.43820649
Height,2,18,25,0.3,56.39471549
Height,2,26,35,0.3,56.49396751
Height,2,36,45,0.3,56.43593599
Height,2,46,55,0.3,55.80605376
Height,2,56,65,0.3,55.04569902
Height,2,66,79,0.3,55.74290412
Height,2,80,99,0.3,55.42491182
Height,1,0,18,0.3,33.04300997
Height,1,18,25,0.3,60.82554466
Height,1,26,35,0.3,60.95959985
Height,1,36,45,0.3,60.92790692
Height,1,46,55,0.3,59.72806375
Height,1,56,65,0.3,60.41672554
Height,1,66,79,0.3,60.1960955
Height,1,80,99,0.3,59.76637086
Height,2,0,18,0.4,32.61734045
Height,2,18,25,0.4,56.57089669
Height,2,26,35,0.4,56.88695985
Height,2,36,45,0.4,56.54711715
Height,2,46,55,0.4,56.45530608
Height,2,56,65,0.4,55.77798288
Height,2,66,79,0.4,56.04302239
Height,2,80,99,0.4,55.44632915
Height,1,0,18,0.4,33.41671096
Height,1,18,25,0.4,61.15483617
Height,1,26,35,0.4,61.07593849
Height,1,36,45,0.4,61.06853691
Height,1,46,55,0.4,60.33294597
Height,1,56,65,0.4,60.61137131
Height,1,66,79,0.4,60.34019006
Height,1,80,99,0.4,59.82302443
Height,2,0,18,0.5,32.74706493
Height,2,18,25,0.5,56.63881011
Height,2,26,35,0.5,56.99077881
Height,2,36,45,0.5,56.67916447
Height,2,46,55,0.5,56.59786521
Height,2,56,65,0.5,56.51499115
Height,2,66,79,0.5,56.17837679
Height,2,80,99,0.5,55.50869139
Height,1,0,18,0.5,33.6614355
Height,1,18,25,0.5,61.17778894
Height,1,26,35,0.5,61.21696219
Height,1,36,45,0.5,61.19491494
Height,1,46,55,0.5,60.68349734
Height,1,56,65,0.5,60.7480643
Height,1,66,79,0.5,60.48428463
Height,1,80,99,0.5,59.88704021
Height,2,0,18,0.6,32.8346634
Height,2,18,25,0.6,57.0079048
Height,2,26,35,0.6,57.0954639
Height,2,36,45,0.6,56.83672361
Height,2,46,55,0.6,56.69743219
Height,2,56,65,0.6,56.5748337
