variable,gender,age_min,age_max,percentile,value
Weight,2,0,18,0,7.71617
Weight,2,18,25,0,79.807244
Weight,2,26,35,0,82.67325
Weight,2,36,45,0,81.350478
Weight,2,46,55,0,87.964338
Weight,2,56,65,0,83.114174
Weight,2,66,79,0,80.909554
Weight,2,80,99,0,71.870612
Weight,1,0,18,0,7.054784
Weight,1,18,25,0,90.830344
Weight,1,26,35,0,96.341894
Weight,1,36,45,0,119.04948
Weight,1,46,55,0,114.419778
Weight,1,56,65,0,94.357736
Weight,1,66,79,0,81.130016
Weight,1,80,99,0,104.278526
Weight,2,0,18,0.1,8.377556
Weight,2,18,25,0.1,82.342557
Weight,2,26,35,0.1,85.97422753
Weight,2,36,45,0.1,89.62309409
Weight,2,46,55,0.1,89.54505054
Weight,2,56,65,0.1,84.60802451
Weight,2,66,79,0.1,90.1028194
Weight,2,80,99,0.1,77.20491055
Weight,1,0,18,0.1,8.377556
Weight,1,18,25,0.1,95.5859298
Weight,1,26,35,0.1,97.6536429
Weight,1,36,45,0.1,119.4516027
Weight,1,46,55,0.1,114.419778
Weight,1,56,65,0.1,96.6992629
Weight,1,66,79,0.1,97.68053926
Weight,1,80,99,0.1,104.9381483
Weight,2,0,18,0.2,8.598018
Weight,2,18,25,0.2,84.3487612
Weight,2,26,35,0.2,87.49078562
Weight,2,36,45,0.2,94.68578346
Weight,2,46,55,0.2,91.69984613
Weight,2,56,65,0.2,86.25487565
Weight,2,66,79,0.2,95.77089742
Weight,2,80,99,0.2,82.5392091
Weight,1,0,18,0.2,8.598018
Weight,1,18,25,0.2,99.02403469
Weight,1,26,35,0.2,99.46804516
Weight,1,36,45,0.2,119.7584858
Weight,1,46,55,0.2,115.1605303
Weight,1,56,65,0.2,97.78283363
Weight,1,66,79,0.2,103.9293142
Weight,1,80,99,0.2,105.5977706
Weight,2,0,18,0.3,8.81848
Weight,2,18,25,0.3,84.8558238
Weight,2,26,35,0.3,88.29547192
Weight,2,36,45,0.3,97.08529186
Weight,2,46,55,0.3,94.59517357
Weight,2,56,65,0.3,88.05472742
Weight,2,66,79,0.3,98.36353054
Weight,2,80,99,0.3,87.87350766
Weight,1,0,18,0.3,8.825975708
Weight,1,18,25,0.3,99.15256404
Weight,1,26,35,0.3,102.3538927
Weight,1,36,45,0.3,119.8925267
Weight,1,46,55,0.3,116.6288072
Weight,1,56,65,0.3,99.79587215
Weight,1,66,79,0.3,104.7829431
Weight,1,80,99,0.3,106.2573929
Weight,2,0,18,0.4,9.259404
Weight,2,18,25,0.4,85.429025
Weight,2,26,35,0.4,91.12488123
Weight,2,36,45,0.4,97.55355315
Weight,2,46,55,0.4,98.86309743
Weight,2,56,65,0.4,90.69189386
Weight,2,66,79,0.4,98.66997272
Weight,2,80,99,0.4,92.27922026
Weight,1,0,18,0.4,9.195910944
Weight,1,18,25,0.4,99.57386692
Weight,1,26,35,0.4,106.831476
Weight,1,36,45,0.4,120.4075259
Weight,1,46,55,0.4,117.3651503
Weight,1,56,65,0.4,102.8578689
Weight,1,66,79,0.4,106.5678034
Weight,1,80,99,0.4,106.8006113
Weight,2,0,18,0.5,9.259404
Weight,2,18,25,0.5,86.06285325
Weight,2,26,35,0.5,92.58411921
Weight,2,36,45,0.5,98.49801236
Weight,2,46,55,0.5,100.2936754
Weight,2,56,65,0.5,93.61808599
Weight,2,66,79,0.5,99.70945105
Weight,2,80,99,0.5,92.91701683
Weight,1,0,18,0.5,9.56584618
Weight,1,18,25,0.5,100.2165137
Weight,1,26,35,0.5,112.2096465
Weight,1,36,45,0.5,121.033638
Weight,1,46,55,0.5,118.0265363
Weight,1,56,65,0.5,105.9011263
Weight,1,66,79,0.5,108.5025779
Weight,1,80,99,0.5,107.1004396
Weight,2,0,18,0.6,9.479866
Weight,2,18,25,0.6,86.3990578
Weight,2,26,35,0.6,93.255426
Weight,2,36,45,0.6,99.86399491
Weight,2,46,55,0.6,100.8177135
Weight,2,56,65,0.6,94.81673788
Weight,2,66,79,0.6,100.7886125
Weight,2,80,99,0.6,93.5548134
Weight,1,0,18,0.6,9.935781416
Weight,1,18,25,0.6,101.1885306
Weight,1,26,35,0.6,114.1949068
Weight,1,36,45,0.6,121.033638
Weight,1,46,55,0.6,118.6103197
Weight,1,56,65,0.6,108.7830056
Weight,1,66,79,0.6,111.6419568
Weight,1,80,99,0.6,107.4002679
Weight,2,0,18,0.7,9.700328
Weight,2,18,25,0.7,86.6636122
Weight,2,26,35,0.7,93.255426
Weight,2,36,45,0.7,101.7370401
Weight,2,46,55,0.7,100.971596
Weight,2,56,65,0.7,95.0034692
Weight,2,66,79,0.7,100.9418336
Weight,2,80,99,0.7,94.19260996
Weight,1,0,18,0.7,10.30571665
Weight,1,18,25,0.7,102.4489119
Weight,1,26,35,0.7,116.3951175
Weight,1,36,45,0.7,121.4287059
Weight,1,46,55,0.7,118.7575883
Weight,1,56,65,0.7,109.12869
Weight,1,66,79,0.7,115.0617633
Weight,1,80,99,0.7,107.7000962
Weight,2,0,18,0.8,9.92079
Weight,2,18,25,0.8,87.1706748
Weight,2,26,35,0.8,93.41063125
Weight,2,36,45,0.8,102.1462175
Weight,2,46,55,0.8,100.971596
Weight,2,56,65,0.8,97.24314266
Weight,2,66,79,0.8,101.0950547
Weight,2,80,99,0.8,94.71576629
Weight,1,0,18,0.8,10.361714
Weight,1,18,25,0.8,105.1480281
Weight,1,26,35,0.8,119.5433149
Weight,1,36,45,0.8,122.3669922
Weight,1,46,55,0.8,119.3598905
Weight,1,56,65,0.8,110.1921987
Weight,1,66,79,0.8,116.0353235
Weight,1,80,99,0.8,108.0775272
Weight,2,0,18,0.9,10.361714
Weight,2,18,25,0.9,87.56199485
Weight,2,26,35,0.9,93.65975331
Weight,2,36,45,0.9,102.3763799
Weight,2,46,55,0.9,101.1713346
Weight,2,56,65,0.9,98.15982365
Weight,2,66,79,0.9,101.4169292
Weight,2,80,99,0.9,95.06365532
Weight,1,0,18,0.9,10.582176
Weight,1,18,25,0.9,106.9758786
Weight,1,26,35,0.9,120.813176
Weight,1,36,45,0.9,122.576872
Weight,1,46,55,0.9,120.3748975
Weight,1,56,65,0.9,112.4358405
Weight,1,66,79,0.9,116.5961789
Weight,1,80,99,0.9,108.4972868
Weight,2,0,18,1,10.582176
Weight,2,18,25,1,87.6887605
Weight,2,26,35,1,94.0601123
Weight,2,36,45,1,102.5853778
Weight,2,46,55,1,101.41252
Weight,2,56,65,1,99.15498912
Weight,2,66,79,1,102.0298136
Weight,2,80,99,1,95.41154436
Weight,1,0,18,1,10.75413636
Weight,1,18,25,1,107.6185253
Weight,1,26,35,1,120.813176
Weight,1,36,45,1,122.7003307
Weight,1,46,55,1,120.5221662
Weight,1,56,65,1,115.0106162
Weight,1,66,79,1,116.9242263
Weight,1,80,99,1,108.9170465
Weight,2,0,18,1.1,10.582176
Weight,2,18,25,1.1,88.1737769
Weight,2,26,35,1.1,94.84605933
Weight,2,36,45,1.1,103.2097262
Weight,2,46,55,1.1,101.41252
Weight,2,56,65,1.1,100.2295209
Weight,2,66,79,1.1,102.216104
Weight,2,80,99,1.1,95.7594334
Weight,1,0,18,1.1,10.9036096
Weight,1,18,25,1.1,108.6253753
Weight,1,26,35,1.1,122.1348457
Weight,1,36,45,1.1,123.638617
Weight,1,46,55,1.1,120.592714
Weight,1,56,65,1.1,115.731086
Weight,1,66,79,1.1,117.2346368
Weight,1,80,99,1.1,109.3368061
Weight,2,0,18,1.2,10.802638
Weight,2,18,25,1.2,88.9343708
Weight,2,26,35,1.2,95.38685262
Weight,2,36,45,1.2,103.7247255
Weight,2,46,55,1.2,101.41252
Weight,2,56,65,1.2,100.6029835
Weight,2,66,79,1.2,102.5192392
Weight,2,80,99,1.2,95.93536207
Weight,1,0,18,1.2,11.05308283
Weight,1,18,25,1.2,109.7821394
Weight,1,26,35,1.2,123.3925814
Weight,1,36,45,1.2,124.2506195
Weight,1,46,55,1.2,120.5962414
Weight,1,56,65,1.2,115.9198014
Weight,1,66,79,1.2,118.5327171
Weight,1,80,99,1.2,110.1057776
Weight,2,0,18,1.3,11.0231
Weight,2,18,25,1.3,89.9044036
Weight,2,26,35,1.3,95.79911656
Weight,2,36,45,1.3,104.1929867
Weight,2,46,55,1.3,101.6955932
Weight,2,56,65,1.3,100.9740211
Weight,2,66,79,1.3,102.9943349
Weight,2,80,99,1.3,95.99334358
Weight,1,0,18,1.3,11.64348007
Weight,1,18,25,1.3,110.045371
Weight,1,26,35,1.3,124.0484559
Weight,1,36,45,1.3,124.5187013
Weight,1,46,55,1.3,120.74351
Weight,1,56,65,1.3,118.1535224
Weight,1,66,79,1.3,119.0794628
Weight,1,80,99,1.3,110.8853312
Weight,2,0,18,1.4,11.0231
Weight,2,18,25,1.4,90.9515981
Weight,2,26,35,1.4,96.11349537
Weight,2,36,45,1.4,104.661248
Weight,2,46,55,1.4,102.294368
